id	name	brand	discount_price	price	rating	num_reviews	quantity_sold
76181490	Phần Mềm Diệt Virus BKAV Profressional 12 Tháng - Hàng Chính Hãng	Bkav	195000	299000	4.8	927	23907
416978	Bộ Chuyển Đổi USB Wifi Nano TP-Link TL-WN725N Chuẩn N 150Mbps - Hàng Chính Hãng	TP-Link	117300	239000	4.5	611	6677
53056161	Phần mềm Microsoft 365 Family English APAC EM Subscr 1YR Medialess P6 (6GQ-01144) - Hàng Chính Hãng	Microsoft	1190000	1690000	5	720	3132
73795655	Apple Macbook Pro 2020 M1 - 13 Inchs (Apple M1/ 8GB/ 256GB) - Hàng Chính Hãng	Apple	30990000	34990000	5	209	460
23393172	Máy in HP Neverstop Laser 1000w  (In/Wifi/Trắng,Đen-4RY23A) - Hàng Chính Hãng	HP	3100000	4290000	0	0	0
74975883	Bộ Phát Wifi TP-Link Archer C54 Băng Tần Kép Chuẩn AC1200 - Hàng Chính Hãng	TP-Link	459000	889000	4.8	268	655
54439144	Bộ Chuyển Đổi USB Wifi TP-Link Archer T2U Plus Công Suất Cao AC600 - Hàng Chính Hãng	TP-Link	279000	349000	4.8	197	757
73795621	Apple Macbook Air 2020 M1 - 13 Inchs (Apple M1/ 8GB/ 256GB) - Hàng Chính Hãng-	Apple	25699000	29990000	5	127	253
35339655	Màn Hình Samsung LS24R350FHEXXV 24inch FullHD 5ms 75Hz AMD FreeSync  - Hàng Chính Hãng	Samsung	3575000	3990000	4.5	119	478
708026	Bộ Phát Wifi TP-Link Archer C50 Băng Tần Kép AC1200 - Hàng Chính Hãng	TP-Link	459000	999000	4.7	127	504
53080935	Phần mềm Microsoft 365 Personal English APAC EM Subscr 1YR Medialess P6 (QQ2-00983) - Hàng Chính Hãng	Microsoft	990000	1290000	5	609	2132
547563	Bộ Kích Sóng Wifi Repeater 300Mbps Totolink EX200 - Hàng Chính Hãng	TOTOLINK	219000	273000	4.5	4	162
59405214	Màn hình Dell P2421D ( 23.8"/ 2K/ IPS/ 60Hz/ 5ms ) - Hàng Chính Hãng	Dell	6049000	6990000	4.8	169	405
405243	USB Kingston DT100G3 32GB USB 3.0 - Hàng Chính Hãng	Kingston	92000	365000	4.5	2039	38638
74559331	Bộ Mở Rộng Sóng Wifi TP-Link TL-WA850RE Chuẩn N 300Mbps - Hàng Chính Hãng	TP-Link	239000	399000	4.7	284	1002
998687	Màn Hình Cong Samsung LC27F397FHEXXV 27inch FullHD 4ms 60Hz FreeSync VA - Hàng Chính Hãng	Samsung	4350000	5689000	4.7	140	732
12477248	Dây cáp mạng bấm sẵn đầu (tặng đầu nối mạng)	OEM	45000	107000	5	117	429
106375760	Màn hình máy tính Dell Ultrasharp U2422H 23.8 inch FHD USB TypeC - Hàng Chính Hãng	Dell	6549000	7490000	4.7	20	70
26314426	Dây Cáp Mạng Cat6 Bấm Sẵn 2 đầu	OEM	50000	50000	5	202	656
12481715	Ổ Cứng SSD Gigabyte 120Gb (2.5" Sata iii 6Gb/S) - Hàng Chính Hãng	Gigabyte	690000	790000	4.3	16	123
4747467	Màn Hình Dell P2319H 23inch FullHD 8ms 60Hz IPS - Hàng Chính Hãng	Dell	4150000	4390000	4.6	262	1623
8315170	Dây Mạng Bấm Sẵn 2 Đầu CAT5  15 Mét (màu ngẫu nhiên)	OEM	75000	170000	4.6	73	292
754249	Bộ Kích Sóng Wifi Repeater Mercusys MW300RE 300Mbps - Hàng Chính Hãng	Mercusys	199000	299000	4.6	164	404
17967481	Bộ Kích Sóng Wifi Xiaomi Repeater Pro - Hàng Nhập Khẩu	Xiaomi	245000	250000	4.5	140	409
416911	TP-Link  TL-WN823N - USB Wifi chuẩn N tốc độ 300Mbps - Hàng Chính Hãng	TP-Link	159000	199000	4.5	376	2543
101152159	Màn hình máy tính Samsung LC32G55TQWEXXV 32″ (QHD/VA/144Hz/1ms) - Hàng Chính hãng	Samsung	6990000	12999000	0	0	1
618526	Ổ Cứng SSD Kingston A400 (240GB) - Hàng Chính Hãng	Kingston	950000	1200000	5	2	14
75982361	Màn Hình Thông Minh Smart Monitor Samsung LS27AM500NEXXV 27inch/Full HD (1920x1080) 8ms/60Hz/VA/Tích Hợp Loa/Hệ Điều Hành Tizen - Hàng Chính Hãng	Samsung	5540000	7649000	4.7	35	68
8315202	Dây Mạng Bấm Sẵn 2 Đầu CAT5  20 Mét (màu ngẫu nhiên)	OEM	85000	90000	4.6	115	484
74556865	Máy Tính Xách Tay Laptop Huawei Matebook D15 (8GB/256GB) Share | Màn Hình HUAWEI Fullview | | HUAWEI Phím Nguồn Kết Hợp Bảo Mật Vân Tay | Hàng Chính Hãng	Huawei	13990000	14990000	4.7	44	96
